GEOID,NAME,B03002_001E,B03002_012E,B03002_004E,pct_hisp,pct_aa
08005006854,"Census Tract 68.54, Arapahoe County, Colorado",2994,394,192,0.13159652638610556,0.06412825651302605
08005006855,"Census Tract 68.55, Arapahoe County, Colorado",5841,332,15,0.056839582263311074,0.0025680534155110425
08005006856,"Census Tract 68.56, Arapahoe County, Colorado",9070,2099,575,0.23142227122381478,0.06339581036383682
08005006857,"Census Tract 68.57, Arapahoe County, Colorado",2303,120,25,0.052105948762483714,0.010855405992184108
08005006858,"Census Tract 68.58, Arapahoe County, Colorado",4961,365,257,0.07357387623463012,0.05180407175972586
08005007101,"Census Tract 71.01, Arapahoe County, Colorado",5231,620,25,0.11852418275664309,0.004779200917606577
08005007103,"Census Tract 71.03, Arapahoe County, Colorado",1652,209,27,0.12651331719128328,0.016343825665859565
08005007104,"Census Tract 71.04, Arapahoe County, Colorado",5612,1254,801,0.22344975053456878,0.14272986457590878
08005007105,"Census Tract 71.05, Arapahoe County, Colorado",6605,1952,676,0.29553368660105983,0.10234670704012112
08005007106,"Census Tract 71.06, Arapahoe County, Colorado",5969,542,467,0.09080247947729939,0.07823756073044061
08005007107,"Census Tract 71.07, Arapahoe County, Colorado",10088,1088,850,0.10785091197462332,0.08425852498017447
08005007201,"Census Tract 72.01, Arapahoe County, Colorado",4101,1852,698,0.4515971714216045,0.17020238966105827
08005007202,"Census Tract 72.02, Arapahoe County, Colorado",4074,2289,338,0.5618556701030928,0.08296514482081492
08005007301,"Census Tract 73.01, Arapahoe County, Colorado",2364,1122,465,0.4746192893401015,0.1967005076142132
08005007302,"Census Tract 73.02, Arapahoe County, Colorado",5457,2846,947,0.521531977276892,0.17353857430822797
08005007400,"Census Tract 74, Arapahoe County, Colorado",5413,3084,299,0.569739515980048,0.05523739146499169
08005007500,"Census Tract 75, Arapahoe County, Colorado",2424,1383,157,0.5705445544554455,0.06476897689768978
08005007600,"Census Tract 76, Arapahoe County, Colorado",3781,2038,634,0.5390108436921449,0.16768050780216873
08005007702,"Census Tract 77.02, Arapahoe County, Colorado",4268,2032,633,0.4761012183692596,0.14831302717900657
08005007703,"Census Tract 77.03, Arapahoe County, Colorado",4644,1694,1117,0.36477174849267874,0.2405254091300603
08005007704,"Census Tract 77.04, Arapahoe County, Colorado",4946,1407,1775,0.284472300849171,0.3588758592802265
08005015100,"Census Tract 151, Arapahoe County, Colorado",2909,82,48,0.028188380886902717,0.016500515641113784
08005080000,"Census Tract 800, Arapahoe County, Colorado",3545,800,953,0.22566995768688294,0.2688293370944993
08005080100,"Census Tract 801, Arapahoe County, Colorado",4266,1134,1112,0.26582278481012656,0.2606657290201594
08005080200,"Census Tract 802, Arapahoe County, Colorado",6595,1626,1147,0.24655041698256255,0.17391963608794542
08005080300,"Census Tract 803, Arapahoe County, Colorado",5529,716,903,0.12949900524507144,0.16332067281606077
08005080400,"Census Tract 804, Arapahoe County, Colorado",5187,327,818,0.06304222093695779,0.15770194717563138
08005080500,"Census Tract 805, Arapahoe County, Colorado",3556,325,537,0.091394825646794145,0.15101237345331833
08005080600,"Census Tract 806, Arapahoe County, Colorado",3433,999,442,0.29099912612875034,0.12875036411302068
08005080700,"Census Tract 807, Arapahoe County, Colorado",5794,2026,906,0.3496720745598895,0.1563686572316189
08005080800,"Census Tract 808, Arapahoe County, Colorado",3691,1816,597,0.4920075860200488,0.16174478461121647
08005080900,"Census Tract 809, Arapahoe County, Colorado",5004,2201,564,0.4398481215027978,0.11270983213429256
08005081000,"Census Tract 810, Arapahoe County, Colorado",5773,1345,2280,0.23298111900225185,0.394941971245453
08005081100,"Census Tract 811, Arapahoe County, Colorado",6230,1845,2200,0.29614767255216695,0.35313001605136435
08005081200,"Census Tract 812, Arapahoe County, Colorado",4788,1461,1530,0.3051378446115288,0.31954887218045114
08005081300,"Census Tract 813, Arapahoe County, Colorado",3153,1208,650,0.38312718046305105,0.20615287028227086
