county,contact,contact2,housingunits,population,SqMeters
109,Home Delivery Packet - English,Home Delivery Packet,474,738,2452140000
109,Census Enumerator,Update/Leave,2946,4388,5375490000
111,Home Delivery Letter - English,Home Delivery Letter,163,22,355001000
111,Census Enumerator,Update/Leave,593,677,651271000
113,Home Delivery Letter - English,Home Delivery Letter,1518,1765,98527900
113,Home Delivery Packet - English,Home Delivery Packet,48,50,1364520000
113,Other,Other,2,3,42669800
113,Census Enumerator,Update/Leave,5070,5541,1836460000
115,Home Delivery Packet - English,Home Delivery Packet,1110,1919,1405760000
115,Census Enumerator,Update/Leave,305,460,17801500
117,Home Delivery Letter - Bilingual,Home Delivery Letter,0,0,156004
117,Home Delivery Letter - English,Home Delivery Letter,5544,6762,668692000
117,Home Delivery Packet - English,Home Delivery Packet,12,3,78688900
117,Census Enumerator,Update/Leave,24286,21229,855424000
119,Home Delivery Letter - English,Home Delivery Letter,10420,20439,814654000
119,Census Enumerator,Update/Leave,2223,2911,631876000
121,Home Delivery Packet - English,Home Delivery Packet,2148,4375,5730900000
121,Census Enumerator,Update/Leave,286,439,804748000
123,Home Delivery Letter - Bilingual,Home Delivery Letter,5269,15927,18408300
123,Home Delivery Letter - English,Home Delivery Letter,74644,193468,7284610000
123,Home Delivery Packet - Bilingual,Home Delivery Packet,3266,8832,10603200
123,Home Delivery Packet - English,Home Delivery Packet,7110,20154,1721290000
123,Census Enumerator,Update/Leave,5992,14444,1361150000
125,Home Delivery Packet - English,Home Delivery Packet,4304,9751,6042830000
125,Census Enumerator,Update/Leave,162,292,94510800
